sample_id,text_transcript,audio_file_path,image_file_path,true_emotion,human_confidence_rating,context
MM_001,"I can't believe I finally got the job offer! I've been waiting for this moment for years.",audio_samples/eval_001_happy.wav,image_samples/eval_001_smile.jpg,Happy,0.98,"User just achieved a major life goal after prolonged stress."
MM_002,"This is completely unacceptable. We agreed on the terms yesterday and now you're entirely backing out?",audio_samples/eval_002_shout.wav,image_samples/eval_002_glare.jpg,Angry,0.95,"User is engaged in a heated business dispute."
MM_003,"I don't know what to do anymore. Everything I try just seems to fall apart in the end.",audio_samples/eval_003_weep.wav,image_samples/eval_003_tears.jpg,Sad,0.99,"User is experiencing severe burnout and feelings of hopelessness."
MM_004,"Wait, are you serious?! You flew all the way from across the country just to see me?",audio_samples/eval_004_gasp.wav,image_samples/eval_004_shock.jpg,Surprise,0.92,"User just received a completely unexpected visit from a loved one."
MM_005,"I don't think I can walk down that alleyway... It's completely pitch black and I heard footsteps.",audio_samples/eval_005_tremble.wav,image_samples/eval_005_wide_eyes.jpg,Fear,0.94,"User is navigating a dangerous or highly intimidating physical environment."
MM_006,"Honestly, the food tasted like it was left out in the sun for three days. It was rancid.",audio_samples/eval_006_gag.wav,image_samples/eval_006_cringe.jpg,Disgust,0.96,"User is recounting a terrible culinary experience."
MM_007,"I'll just grab the paperwork from the front desk and meet you at the car in five minutes.",audio_samples/eval_007_calm.wav,image_samples/eval_007_stoic.jpg,Neutral,0.99,"User is discussing a standard, routine logistic operation without emotional attachment."
MM_008,"If you ever speak to my family like that again, I swear there will be severe consequences.",audio_samples/eval_008_low_growl.wav,image_samples/eval_008_frown.jpg,Angry,0.97,"User is issuing a stern, deeply personal threat in defense of a loved one."
MM_009,"We won! After entirely being written off in the first half, we actually pulled it off!",audio_samples/eval_009_cheer.wav,image_samples/eval_009_ecstatic.jpg,Happy,0.98,"User is celebrating a miraculous comeback in a competitive sports finale."
MM_010,"I thought I locked the front door... but it's wide open. Is someone inside the house?",audio_samples/eval_010_whisper.wav,image_samples/eval_010_panic.jpg,Fear,0.95,"User realizes their home security has been breached and suspects an intruder."
MM_011,"I spent three months building this prototype and the supervisor just threw it in the trash without looking at it.",audio_samples/eval_011_sigh.wav,image_samples/eval_011_hollow.jpg,Sad,0.93,"User experiences deep disappointment and invalidation of hard work."
MM_012,"What the... how did you manage to fit an entire grand piano into a compact car?!",audio_samples/eval_012_laugh_shock.wav,image_samples/eval_012_jaw_drop.jpg,Surprise,0.90,"User is bewildered by an absurd and logistically impossible visual."
MM_013,"Just looking at that wound makes my stomach turn. I can't even be in the same room right now.",audio_samples/eval_013_queasy.wav,image_samples/eval_013_turn_away.jpg,Disgust,0.97,"User is reacting viscerally to a gruesome or gory injury."
MM_014,"The temperature outside is currently 72 degrees Fahrenheit with a slight easterly wind.",audio_samples/eval_014_robot.wav,image_samples/eval_014_blank.jpg,Neutral,1.00,"User is simply reading a meteorological readout."
